id,full_date,year,year_week,year_day,fiscal_year,fiscal_qtr,month,month_name,week_day,day_name,day_is_weekday
2014-01-01,2014-01-01,2014,0,1,2014,1,1,January,3,Wednesday,1
2014-01-02,2014-01-02,2014,0,2,2014,1,1,January,4,Thursday,1
2014-01-03,2014-01-03,2014,0,3,2014,1,1,January,5,Friday,1
2014-01-04,2014-01-04,2014,0,4,2014,1,1,January,6,Saturday,0
2014-01-05,2014-01-05,2014,1,5,2014,1,1,January,0,Sunday,0
2014-01-06,2014-01-06,2014,1,6,2014,1,1,January,1,Monday,1
2014-01-07,2014-01-07,2014,1,7,2014,1,1,January,2,Tuesday,1
2014-01-08,2014-01-08,2014,1,8,2014,1,1,January,3,Wednesday,1
2014-01-09,2014-01-09,2014,1,9,2014,1,1,January,4,Thursday,1
2014-01-10,2014-01-10,2014,1,10,2014,1,1,January,5,Friday,1
2014-01-11,2014-01-11,2014,1,11,2014,1,1,January,6,Saturday,0
2014-01-12,2014-01-12,2014,2,12,2014,1,1,January,0,Sunday,0
2014-01-13,2014-01-13,2014,2,13,2014,1,1,January,1,Monday,1
2014-01-14,2014-01-14,2014,2,14,2014,1,1,January,2,Tuesday,1
2014-01-15,2014-01-15,2014,2,15,2014,1,1,January,3,Wednesday,1
2014-01-16,2014-01-16,2014,2,16,2014,1,1,January,4,Thursday,1
2014-01-17,2014-01-17,2014,2,17,2014,1,1,January,5,Friday,1
2014-01-18,2014-01-18,2014,2,18,2014,1,1,January,6,Saturday,0
2014-01-19,2014-01-19,2014,3,19,2014,1,1,January,0,Sunday,0
2014-01-20,2014-01-20,2014,3,20,2014,1,1,January,1,Monday,1
2014-01-21,2014-01-21,2014,3,21,2014,1,1,January,2,Tuesday,1
2014-01-22,2014-01-22,2014,3,22,2014,1,1,January,3,Wednesday,1
2014-01-23,2014-01-23,2014,3,23,2014,1,1,January,4,Thursday,1
2014-01-24,2014-01-24,2014,3,24,2014,1,1,January,5,Friday,1
2014-01-25,2014-01-25,2014,3,25,2014,1,1,January,6,Saturday,0
2014-01-26,2014-01-26,2014,4,26,2014,1,1,January,0,Sunday,0
2014-01-27,2014-01-27,2014,4,27,2014,1,1,January,1,Monday,1
2014-01-28,2014-01-28,2014,4,28,2014,1,1,January,2,Tuesday,1
2014-01-29,2014-01-29,2014,4,29,2014,1,1,January,3,Wednesday,1
2014-01-30,2014-01-30,2014,4,30,2014,1,1,January,4,Thursday,1
2014-01-31,2014-01-31,2014,4,31,2014,1,1,January,5,Friday,1
2014-02-01,2014-02-01,2014,4,1,2014,1,2,February,6,Saturday,0
2014-02-02,2014-02-02,2014,5,2,2014,1,2,February,0,Sunday,0
2014-02-03,2014-02-03,2014,5,3,2014,1,2,February,1,Monday,1
2014-02-04,2014-02-04,2014,5,4,2014,1,2,February,2,Tuesday,1
2014-02-05,2014-02-05,2014,5,5,2014,1,2,February,3,Wednesday,1
2014-02-06,2014-02-06,2014,5,6,2014,1,2,February,4,Thursday,1
2014-02-07,2014-02-07,2014,5,7,2014,1,2,February,5,Friday,1
2014-02-08,2014-02-08,2014,5,8,2014,1,2,February,6,Saturday,0
2014-02-09,2014-02-09,2014,6,9,2014,1,2,February,0,Sunday,0
2014-02-10,2014-02-10,2014,6,10,2014,1,2,February,1,Monday,1
2014-02-11,2014-02-11,2014,6,11,2014,1,2,February,2,Tuesday,1
2014-02-12,2014-02-12,2014,6,12,2014,1,2,February,3,Wednesday,1
2014-02-13,2014-02-13,2014,6,13,2014,1,2,February,4,Thursday,1
2014-02-14,2014-02-14,2014,6,14,2014,1,2,February,5,Friday,1
2014-02-15,2014-02-15,2014,6,15,2014,1,2,February,6,Saturday,0
2014-02-16,2014-02-16,2014,7,16,2014,1,2,February,0,Sunday,0
2014-02-17,2014-02-17,2014,7,17,2014,1,2,February,1,Monday,1
2014-02-18,2014-02-18,2014,7,18,2014,1,2,February,2,Tuesday,1
2014-02-19,2014-02-19,2014,7,19,2014,1,2,February,3,Wednesday,1
2014-02-20,2014-02-20,2014,7,20,2014,1,2,February,4,Thursday,1
2014-02-21,2014-02-21,2014,7,21,2014,1,2,February,5,Friday,1
2014-02-22,2014-02-22,2014,7,22,2014,1,2,February,6,Saturday,0
2014-02-23,2014-02-23,2014,8,23,2014,1,2,February,0,Sunday,0
2014-02-24,2014-02-24,2014,8,24,2014,1,2,February,1,Monday,1
2014-02-25,2014-02-25,2014,8,25,2014,1,2,February,2,Tuesday,1
2014-02-26,2014-02-26,2014,8,26,2014,1,2,February,3,Wednesday,1
2014-02-27,2014-02-27,2014,8,27,2014,1,2,February,4,Thursday,1
2014-02-28,2014-02-28,2014,8,28,2014,1,2,February,5,Friday,1
2014-03-01,2014-03-01,2014,8,1,2014,1,3,March,6,Saturday,0
2014-03-02,2014-03-02,2014,9,2,2014,1,3,March,0,Sunday,0
2014-03-03,2014-03-03,2014,9,3,2014,1,3,March,1,Monday,1
2014-03-04,2014-03-04,2014,9,4,2014,1,3,March,2,Tuesday,1
